,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
112,1112,Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,24,0.08,0.0,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14
113,1113,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1114,Denzel Dumfries,NED,DF,Inter,Serie A,26,0.04,0.16,0.2,0.04,0.2,0.15,0.2,0.35,0.15,0.35
115,1115,Julien Duranville,BEL,MF,Dortmund,Bundesliga,16,0.0,0.0,0.0,0.0,0.0,0.06,0.83,0.89,0.06,0.89
116,1116,Edin Džeko,BIH,FW,Inter,Serie A,36,0.47,0.16,0.62,0.47,0.62,0.5,0.17,0.67,0.5,0.67
117,1117,Ederson,BRA,GK,Manchester City,Premier League,28,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01
118,1118,Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,20,0.23,0.31,0.55,0.23,0.55,0.29,0.13,0.42,0.29,0.42
119,1119,Anthony Elanga,SWE,FW,Manchester Utd,Premier League,20,0.0,0.21,0.21,0.0,0.21,0.15,0.19,0.34,0.15,0.34
120,1120,Elif Elmas,MKD,"FW,MF",Napoli,Serie A,22,0.33,0.17,0.5,0.28,0.44,0.22,0.11,0.33,0.18,0.29
121,1121,Mohamed Elneny,EGY,MF,Arsenal,Premier League,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1122,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,28,0.0,0.06,0.06,0.0,0.06,0.04,0.06,0.11,0.04,0.11
123,1123,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,25,0.43,0.05,0.49,0.43,0.49,0.44,0.06,0.5,0.44,0.5
124,1124,Christian Eriksen,DEN,MF,Manchester Utd,Premier League,30,0.04,0.35,0.4,0.04,0.4,0.22,0.19,0.4,0.22,0.4
125,1125,Ansu Fati,ESP,FW,Barcelona,La Liga,19,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69
126,1126,Felipe,BRA,DF,Atlético Madrid,La Liga,33,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
127,1127,João Félix,POR,"FW,MF",Atlético Madrid,La Liga,22,0.55,0.42,0.97,0.55,0.97,0.39,0.2,0.59,0.39,0.59
128,1128,Bruno Fernandes,POR,"MF,FW",Manchester Utd,Premier League,27,0.22,0.22,0.43,0.16,0.38,0.25,0.45,0.71,0.21,0.66
129,1129,Carlos Fernández,ESP,FW,Real Sociedad,La Liga,26,0.14,0.0,0.14,0.14,0.14,0.34,0.08,0.42,0.34,0.42
130,1130,Fernando,BRA,"MF,DF",Sevilla,La Liga,35,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05
131,1131,Alessandro Florenzi,ITA,DF,Milan,Serie A,31,0.0,0.0,0.0,0.0,0.0,0.34,0.21,0.54,0.34,0.54
132,1132,Phil Foden,ENG,FW,Manchester City,Premier League,22,0.54,0.29,0.83,0.54,0.83,0.29,0.23,0.52,0.29,0.52
133,1133,Seko Fofana,CIV,MF,Lens,Ligue 1,27,0.21,0.15,0.35,0.18,0.32,0.27,0.11,0.38,0.22,0.33
134,1134,Emil Forsberg,SWE,"MF,FW",RB Leipzig,Bundesliga,30,0.36,0.24,0.61,0.24,0.49,0.3,0.14,0.43,0.2,0.34
135,1135,Steven Fortes,CPV,DF,Lens,Ligue 1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1136,Przemysław Frankowski,POL,"DF,MF",Lens,Ligue 1,27,0.16,0.1,0.25,0.06,0.16,0.13,0.22,0.35,0.06,0.27
