,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
150,1150,Elseid Hysaj,ALB,DF,SS Lazio,Serie A,29,0.041625,0.041625,0.074925,0.041625,0.074925,0.008325,0.047175,0.0555,0.008325,0.0555
151,1151,Rasmus Højlund,DEN,FW,Manchester United,Premier League,20,0.0,0.0,0.0,0.0,0.0,0.2688,0.0448,0.3136,0.2688,0.3136
152,1152,Ciro Immobile,ITA,FW,SS Lazio,Serie A,33,0.5078250000000001,0.1665,0.674325,0.31635,0.491175,0.5772,0.10545,0.6826500000000001,0.413475,0.5106
153,1153,Alexander Isak,SWE,FW,Newcastle United,Premier League,24,0.804,0.054,0.8580000000000001,0.696,0.75,0.6209999999999999,0.123,0.744,0.54,0.654
154,1154,Alexander Isak,SWE,FW,Newcastle United,Premier League,24,0.804,0.0,0.804,0.804,0.804,0.288,0.0599999999999999,0.348,0.288,0.348
155,1155,Gustav Isaksen,DEN,FW,SS Lazio,Serie A,22,0.0,0.0,0.0,0.0,0.0,0.0,0.1998,0.1998,0.0,0.1998
156,1156,Adnan Januzaj,BEL,FW,Sevilla,La Liga,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1157,Gabriel Jesus,BRA,FW,Arsenal FC,Premier League,26,0.8700770000000001,0.307086,1.177163,0.8228329999999999,1.129919,1.1456670000000002,0.208661,1.350391,1.110234,1.3149579999999998
158,1158,Juan Jesus,BRA,DF,SSC Napoli,Serie A,32,0.096,0.0,0.096,0.096,0.096,0.0448,0.0128,0.048,0.0448,0.048
159,1159,Joelinton,BRA,MF,Newcastle United,Premier League,27,0.18,0.027,0.216,0.18,0.216,0.2489999999999999,0.102,0.351,0.2489999999999999,0.351
160,1160,Frenkie de Jong,NED,"MF,DF",FC Barcelona,La Liga,26,0.126,0.1323,0.2583,0.126,0.2583,0.11025,0.1700999999999999,0.2835,0.11025,0.2835
161,1161,Joan Jordán,ESP,MF,Sevilla,La Liga,29,0.0,0.04635,0.04635,0.0,0.04635,0.04635,0.02575,0.0721,0.04635,0.0721
162,1162,Jorginho,ITA,MF,Arsenal FC,Premier League,31,0.0,0.129921,0.129921,0.0,0.129921,0.023622,0.023622,0.047244,0.023622,0.047244
163,1163,Joselu,ESP,FW,Real Madrid,La Liga,33,1.0062,0.3354,1.3416,1.0062,1.3416,1.1094,0.258,1.3545,1.1094,1.3545
164,1164,Luka Jović,SRB,FW,AC Milan,Serie A,25,0.0,0.0,0.0,0.0,0.0,0.0,0.2714,0.2714,0.0,0.2714
165,1165,Vinicius Júnior,BRA,FW,Real Madrid,La Liga,23,0.4418249999999999,0.2805749999999999,0.7224,0.4418249999999999,0.7224,0.3999,0.2902499999999999,0.6804750000000002,0.3999,0.6804750000000002
166,1166,Josip Juranović,CRO,"DF,MF",Union Berlin,Bundesliga,28,0.149625,0.254625,0.40425,0.07875,0.3255,0.126,0.189,0.3255,0.070875,0.2625
167,1167,Pierre Kalulu,FRA,DF,AC Milan,Serie A,23,0.0353999999999999,0.0,0.0353999999999999,0.0353999999999999,0.0353999999999999,0.04425,0.0353999999999999,0.0885,0.04425,0.0885
168,1168,Daichi Kamada,JPN,MF,SS Lazio,Serie A,27,0.3885,0.3885,0.7659,0.3885,0.7659,0.1554,0.0777,0.2331,0.1554,0.2331
169,1169,Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,32,0.19375,0.121875,0.315625,0.19375,0.315625,0.071875,0.075,0.146875,0.071875,0.146875
170,1170,Harry Kane,ENG,FW,FC Bayern München,Bundesliga,30,1.8864,0.8122,2.6986000000000003,1.3493000000000002,2.1615,1.4933999999999998,0.3537,1.8471,1.0742,1.4279000000000002
171,1171,Lee Kang-in,KOR,FW,Paris Saint-Germain,Ligue 1,22,0.0,0.0,0.0,0.0,0.0,0.1286999999999999,0.1872,0.3159,0.1286999999999999,0.3159
172,1172,Mikkel Kaufmann,DEN,"DF,FW",Union Berlin,Bundesliga,22,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.105,0.105,0.105
173,1173,Aljoscha Kemlein,GER,MF,Union Berlin,Bundesliga,19,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.147,0.147,0.147
174,1174,Joshua Kimmich,GER,MF,FC Bayern München,Bundesliga,28,0.1572,0.4061,0.5632999999999999,0.127725,0.533825,0.0917,0.32095,0.422475,0.07205,0.393
175,1175,Jakub Kiwior,POL,DF,Arsenal FC,Premier League,23,0.248031,0.0,0.248031,0.248031,0.248031,0.1850389999999999,0.011811,0.19685,0.1850389999999999,0.19685
176,1176,Simon Kjær,DEN,DF,AC Milan,Serie A,34,0.0,0.0,0.0,0.0,0.0,0.0,0.00295,0.00295,0.0,0.00295
177,1177,Davy Klaassen,NED,MF,Inter Milan,Serie A,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1178,Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,27,0.0,0.0,0.0,0.0,0.0,0.0281249999999999,0.05,0.0875,0.0281249999999999,0.0875
179,1179,Robin Knoche,GER,DF,Union Berlin,Bundesliga,31,0.04725,0.070875,0.126,0.023625,0.102375,0.055125,0.023625,0.07875,0.023625,0.039375
180,1180,Gregor Kobel,SUI,GK,Borussia Dortmund,Bundesliga,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
