,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1900,Emile Smith Rowe,eng ENG,FW,Arsenal,eng Premier League,23-064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1906,Alex Sola,es ESP,"DF,MF",Real Sociedad,es La Liga,24-113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1909,Carlos Soler,es ESP,"MF,FW",Paris S-G,fr Ligue 1,26-271,0.00,0.00,0.00,0.00,0.00,0.26,0.11,0.36,0.26,0.36
1912,Yann Sommer,ch SUI,GK,Inter,it Serie A,34-287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1919,Florian Sotoca,fr FRA,"MF,FW",Lens,fr Ligue 1,32-340,0.14,0.43,0.58,0.14,0.58,0.16,0.23,0.39,0.16,0.39
1924,Boubakary Soumaré,fr FRA,MF,Sevilla,es La Liga,24-215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1927,Djibril Sow,ch SUI,MF,Sevilla,es La Liga,26-236,0.00,0.28,0.28,0.00,0.28,0.14,0.13,0.27,0.14,0.27
1928,Çağlar Söyüncü,tr TUR,DF,Atlético Madrid,es La Liga,27-130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1930,Stijn Spierings,nl NED,MF,Lens,fr Ligue 1,27-202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1932,Marco Sportiello,it ITA,GK,Milan,it Serie A,31-143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956,Niklas Süle,de GER,DF,Dortmund,de Bundesliga,28-027,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1959,Suso,es ESP,"FW,MF",Sevilla,es La Liga,29-315,0.22,0.22,0.44,0.22,0.44,0.12,0.22,0.33,0.12,0.33
1979,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,28-012,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
1987,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,es La Liga,23-246,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.10,0.07,0.10
1988,Mathys Tel,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,18-156,3.21,1.07,4.29,3.21,4.29,0.52,0.24,0.76,0.52,0.76
1991,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,31-153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2002,Malick Thiaw,de GER,DF,Milan,it Serie A,22-053,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
2005,Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,29-294,0.00,0.00,0.00,0.00,0.00,0.20,0.15,0.35,0.20,0.35
2009,Marcus Thuram,fr FRA,FW,Inter,it Serie A,26-055,0.43,0.64,1.07,0.43,1.07,0.49,0.18,0.67,0.49,0.67
2012,Kieran Tierney,sct SCO,DF,Real Sociedad,es La Liga,26-117,0.00,0.43,0.43,0.00,0.43,0.00,0.07,0.07,0.00,0.07
2015,Jurriën Timber,nl NED,DF,Arsenal,eng Premier League,22-105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,Takehiro Tomiyasu,jp JPN,DF,Arsenal,eng Premier League,24-329,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
2024,Fikayo Tomori,eng ENG,DF,Milan,it Serie A,25-285,0.21,0.00,0.21,0.21,0.21,0.22,0.00,0.22,0.22,0.22
2025,Sandro Tonali,it ITA,MF,Newcastle Utd,eng Premier League,23-145,0.30,0.00,0.30,0.30,0.30,0.19,0.16,0.36,0.19,0.36
2029,Ferrán Torres,es ESP,FW,Barcelona,es La Liga,23-213,0.97,0.00,0.97,0.97,0.97,0.41,0.35,0.76,0.41,0.76
2030,Óliver Torres,es ESP,MF,Sevilla,es La Liga,28-324,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
2036,Lucas Tousart,fr FRA,MF,Union Berlin,de Bundesliga,26-154,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.11,0.06,0.11
2041,Hamari Traoré,ml MLI,DF,Real Sociedad,es La Liga,31-246,0.00,0.16,0.16,0.00,0.16,0.01,0.10,0.10,0.01,0.10
2048,Christopher Trimmel,at AUT,DF,Union Berlin,de Bundesliga,36-218,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
2049,Kieran Trippier,eng ENG,DF,Newcastle Utd,eng Premier League,33-011,0.00,0.52,0.52,0.00,0.52,0.00,0.32,0.32,0.00,0.32
2050,Leandro Trossard,be BEL,FW,Arsenal,eng Premier League,28-300,0.70,0.00,0.70,0.70,0.70,0.06,0.59,0.65,0.06,0.65
2058,Beñat Turrientes,es ESP,MF,Real Sociedad,es La Liga,21-242,0.00,0.00,0.00,0.00,0.00,0.16,0.09,0.24,0.16,0.24
2062,Manuel Ugarte Ribeiro,uy URU,MF,Paris S-G,fr Ligue 1,22-172,0.00,0.19,0.19,0.00,0.19,0.03,0.09,0.12,0.03,0.12
2065,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,35-058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2068,Dayot Upamecano,fr FRA,DF,Bayern Munich,de Bundesliga,24-338,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06
2075,Federico Valverde,uy URU,MF,Real Madrid,es La Liga,25-070,0.16,0.00,0.16,0.16,0.16,0.12,0.13,0.26,0.12,0.26
2081,Raphaël Varane,fr FRA,DF,Manchester Utd,eng Premier League,30-158,0.38,0.00,0.38,0.38,0.38,0.39,0.00,0.39,0.39,0.39
2086,Lucas Vázquez,es ESP,"DF,MF",Real Madrid,es La Liga,32-091,0.00,0.71,0.71,0.00,0.71,0.02,0.20,0.22,0.02,0.22
2087,Matías Vecino,uy URU,MF,Lazio,it Serie A,32-037,0.53,0.00,0.53,0.53,0.53,0.20,0.00,0.20,0.20,0.20
2099,Fabio Vieira,pt POR,MF,Arsenal,eng Premier League,23-123,0.00,1.04,1.04,0.00,1.04,0.21,0.52,0.74,0.21,0.74
2113,Vitinha,pt POR,"MF,FW",Paris S-G,fr Ligue 1,23-229,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19
2120,Kevin Volland,de GER,MF,Union Berlin,de Bundesliga,31-062,0.00,0.98,0.98,0.00,0.98,0.32,0.74,1.06,0.32,1.06
2123,Stefan de Vrij,nl NED,DF,Inter,it Serie A,31-237,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
2125,Elye Wahi,fr FRA,FW,Lens,fr Ligue 1,20-271,0.33,0.33,0.67,0.33,0.67,0.30,0.11,0.41,0.30,0.41
2128,Kyle Walker,eng ENG,DF,Manchester City,eng Premier League,33-125,0.00,0.17,0.17,0.00,0.17,0.01,0.15,0.15,0.01,0.15
2130,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,25-308,0.00,0.26,0.26,0.00,0.26,0.00,0.30,0.30,0.00,0.30
2144,Timo Werner,de GER,"MF,FW",RB Leipzig,de Bundesliga,27-208,0.93,0.00,0.93,0.93,0.93,0.45,0.03,0.49,0.45,0.49
2145,Ben White,eng ENG,DF,Arsenal,eng Premier League,25-357,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17
2152,Callum Wilson,eng ENG,FW,Newcastle Utd,eng Premier League,31-215,1.39,0.00,1.39,1.04,1.04,1.26,0.01,1.27,0.98,0.99
2160,Axel Witsel,be BEL,"DF,MF",Atlético Madrid,es La Liga,34-261,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
2163,Marius Wolf,de GER,DF,Dortmund,de Bundesliga,28-126,0.00,0.37,0.37,0.00,0.37,0.00,0.36,0.36,0.00,0.36
2172,Abduqodir Xusanov,uz UZB,DF,Lens,fr Ligue 1,19-213,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
2173,Lamine Yamal,es ESP,"FW,MF",Barcelona,es La Liga,16-079,0.00,0.22,0.22,0.00,0.22,0.15,0.37,0.51,0.15,0.51
2184,Mattia Zaccagni,it ITA,FW,Lazio,it Serie A,28-106,0.18,0.00,0.18,0.18,0.18,0.13,0.05,0.18,0.13,0.18
2186,Warren Zaire-Emery,fr FRA,MF,Paris S-G,fr Ligue 1,17-206,0.00,0.17,0.17,0.00,0.17,0.04,0.05,0.09,0.04,0.09
2188,Arsen Zakharyan,ru RUS,"MF,FW",Real Sociedad,es La Liga,20-127,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.57,0.00,0.57
2190,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,it Serie A,27-318,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
2202,Alessio Zerbin,it ITA,FW,Napoli,it Serie A,24-211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2206,Piotr Zieliński,pl POL,MF,Napoli,it Serie A,29-133,0.36,0.18,0.53,0.18,0.36,0.23,0.24,0.47,0.09,0.33
2210,Oleksandr Zinchenko,ua UKR,DF,Arsenal,eng Premier League,26-289,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
2216,Igor Zubeldia,es ESP,DF,Real Sociedad,es La Liga,26-184,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.12,0.02,0.12
2217,Martín Zubimendi,es ESP,MF,Real Sociedad,es La Liga,24-240,0.17,0.00,0.17,0.17,0.17,0.12,0.02,0.14,0.12,0.14
2218,Martin Ødegaard,no NOR,MF,Arsenal,eng Premier League,24-287,0.34,0.00,0.34,0.17,0.17,0.29,0.04,0.33,0.16,0.20
