Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-270,1995,5,2,185,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches
69,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21-170,2002,4,2,184,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,8,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
70,Papa Amadou Diallo,sn SEN,"FW,MF",Metz,fr Ligue 1,19-118,2004,2,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
71,Selim Amallah,ma MAR,"MF,FW",Valencia,es La Liga,26-340,1996,5,2,202,2.2,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,5,8,13,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches
72,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27-097,1996,7,2,217,2.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,6,5,11,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
73,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19-258,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Zeki Amdouni,ch SUI,"FW,MF",Burnley,eng Premier League,22-321,2000,7,7,463,5.1,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.7,10,10,14,0.19,0.00,0.19,0.19,0.19,0.27,0.06,0.32,0.27,0.32,Matches
75,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-291,2002,3,2,150,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27-252,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,26-359,1996,3,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Sofyan Amrabat,ma MAR,"DF,MF",Manchester Utd,eng Premier League,27-061,1996,3,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,27,3,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
79,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27-143,1996,8,8,720,8.0,2,0,2,2,0,0,0,0,0.6,0.6,1.2,1.8,8,55,4,0.25,0.00,0.25,0.25,0.25,0.08,0.15,0.23,0.08,0.23,Matches
80,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,20-349,2002,8,4,400,4.4,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,14,24,31,0.00,0.23,0.23,0.00,0.23,0.17,0.20,0.36,0.17,0.36,Matches
81,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-189,1993,8,7,546,6.1,0,4,4,0,0,0,0,0,0.8,0.8,1.6,2.4,23,28,46,0.00,0.66,0.66,0.00,0.66,0.13,0.26,0.39,0.13,0.39,Matches
82,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33-079,1990,8,8,720,8.0,2,0,2,2,0,0,1,0,1.2,1.2,0.4,1.5,7,57,10,0.25,0.00,0.25,0.25,0.25,0.15,0.04,0.19,0.15,0.19,Matches
83,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28-112,1995,4,1,126,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,5,20,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Matches
84,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,29-029,1994,6,1,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
